Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Apple iPhone,35,1,2008,7,115.5,62.1,12.3,133,1,TFT,3.5,320,480,iOS 3,-,1,PowerVR MBX,0,8,0.125,2,2,-,0,Wi-Fi 802.11b/g,0,0,1,0,1
Motorola RAZR,35,1,2008,7,103,53,13,125,1,TFT,2.2,240,320,-,-,-,-,8,-,-,2,2,950,0,No,0,-,-,-,-
Motorola W,5,1,2008,7,109,46,14.7,86,1,TFT,1.8,128,160,-,-,-,-,2,-,-,0,0,940,0,No,1,-,-,-,-
Motorola PEBL VU,35,1,2008,7,100,48.9,18.9,103,1,TFT,2.2,240,320,-,-,-,-,4,-,-,0,2,950,0,No,-,-,-,-,-
Samsung i,35,1,2008,9,106.5,53.9,17.2,136,1,TFT,2.8,240,320,Symbian 9.3,-,1,-,16,8,0.125,2,2,1200,0,Wi-Fi 802.11 b/g,1,0,1,0,0
Samsung L,65,1,2008,9,109,46,12.8,107,1,TFT,2.1,176,220,-,-,-,-,8,-,-,0,2,960,0,No,1,-,-,-,-
Motorola ZN,5,1,2008,9,118,50.5,12,114,1,TFT,2.4,240,320,Linux,-,1,-,4,-,-,0,2,950,0,Wi-Fi 802.11 b/g/i,1,-,-,-,-
Samsung M,35,1,2008,11,107.9,54.6,13.8,121,1,TFT,3.2,240,400,-,Qualcomm MSM6281,1,-,16,-,-,1,2,1000,0,No,1,0,1,0,0
Motorola Aura,5,1,2008,12,96.9,47.6,18.6,141,1,TFT,1.55,480,480,-,-,-,-,0,-,-,0,2,810,0,No,0,-,-,-,-
Samsung S,5,1,2009,1,109.9,46,10.9,77,1,TFT,2.1,240,320,-,-,-,-,8,-,-,0,2,880,0,No,1,-,-,-,-
Samsung S,35,1,2009,3,110,51.5,12.7,105,1,TFT,2.8,240,400,-,Qualcomm MSM6281,1,-,16,-,-,2,2,880,0,No,1,0,1,0,1
Samsung B,5,1,2009,4,113,48.9,17.4,102.8,1,TFT,1.77,120,160,-,-,-,-,8,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung S,5,1,2009,5,104,53,11.9,93.5,1,TFT,3,240,400,-,-,-,-,16,-,-,0,2,1000,0,No,1,0,1,0,0
Samsung i,35,1,2009,5,123,58,12.9,148,1,TFT,3.7,360,640,Symbian 9.4,-,1,PowerVR SGX,32,8,0.25,2,2,1500,0,Wi-Fi 802.11 b/g,1,0,1,0,1
Samsung S,35,1,2009,6,108.8,53.5,11.9,110,1,AMOLED,3.1,480,800,-,Qualcomm MSM6246,1,-,16,-,-,2,2,1100,0,Wi-Fi 802.11 b/g,1,0,1,0,1
Samsung I,35,1,2009,6,115.9,56,11.9,116.7,1,TFT,3.2,320,480,Android 1.5,Qualcomm MSM7200A,1,Adre0 130,16,8,0.125,1,2,1500,0,Wi-Fi 802.11 b/g,0,0,1,0,0
Samsung C,5,1,2009,6,97,47.3,14.9,86,1,TFT,2,120,160,-,-,-,-,8,-,-,0,2,800,0,No,1,-,-,-,-
Apple iPhone,35,1,2009,6,115.5,62.1,12.3,135,1,TFT,3.5,320,480,iOS 3,-,1,PowerVR SGX535,0,8,0.25,2,2,-,0,Wi-Fi 802.11 b/g,0,0,1,0,1
Samsung I,35,1,2009,7,118,59.6,12.3,123,1,AMOLED,3.7,480,800,Windows 6.1,-,1,-,32,2,0.25,2,2,1500,0,Wi-Fi 802.11 b/g,1,0,1,0,1
