,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
97,Samsung Z3 Corporate,385,Yes,141.5,69.9,7.9,-,Dual,AMOLED,5.0,720,1280,Tizen,Qualcomm,Quad,Adreno,128 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2600
98,Samsung Galaxy Xcover 3 G389F,385,Yes,132.9,70.1,10,154,Single,TFT,4.5,480,800,Android 6.0,Exynos,Quad,Mali-T720,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,2200
99,Samsung Galaxy S,385,Yes,148.8,74.9,9.9,184.8,Single,AMOLED,5.1,1440,2560,Android 6.0,Qualcomm,Quad,Adreno,512 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,4000
100,Samsung Galaxy J,2310,Yes,142.2,71.3,8,139,Dual,AMOLED,5.0,720,1280,Android 5.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2600
101,Samsung Galaxy C,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,169,Dual,AMOLED,5.7,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3300
102,Samsung Galaxy C,385,Yes,145.9,72,6.7,143,Dual,AMOLED,5.2,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,2600
103,Samsung Galaxy A,385,Yes,161.7,80.9,7.9,210,Single,AMOLED,6.0,1080,1920,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,5000
104,Samsung Galaxy J,385,Yes,151.7,76,7.8,170,Single,AMOLED,5.5,720,1280,Android 6.0.1,Qualcomm,Octa,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3300
105,Samsung Galaxy J,385,Yes,145.8,72.3,8.1,159,Single,AMOLED,5.2,720,1280,Android 6.0.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3100
106,Samsung Galaxy Tab A 10.1 (2016),385,Yes,254.2,155.3,8.2,525,Single,LCD,10.1,1200,1920,Android 6.0,Exynos,Octa,Mali-T830,256 GB,"16/32 GB, 3 GB RAM (S-Pen version only) or 16 GB, 2 GB RAM",Yes,microUSB 2.0,7300
107,Samsung Galaxy Tab A 7.0 (2016),385,Yes,186.9,108.8,8.7,283,Single,LCD,7.0,800,1280,Android 5.1.1,Qualcomm,Quad,Adreno,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,4000
108,Samsung Galaxy S,385,Yes,142.4,69.6,7.9,152,Single,AMOLED,5.1,1440,2560,Android 6.0,Exynos,Octa,Mali-T880,256 GB,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
109,Samsung Galaxy S,385,Yes,150.9,72.6,7.7,157,Single,AMOLED,5.5,1440,2560,Android 6.0,Qualcomm,Quad,Adreno,512 GB,"32/64/128 GB, 4 GB RAM",Yes,microUSB 2.0,3600
110,Samsung Galaxy S,2310,Yes,150.9,72.6,7.7,157,Single,AMOLED,5.5,1440,2560,Android 6.0,Qualcomm,Quad,Adreno,512 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,3600
111,Samsung Galaxy S,2310,Yes,142.4,69.6,7.9,152,Single,AMOLED,5.1,1440,2560,Android 6.0,Qualcomm,Quad,Adreno,512 GB,"32 GB, 4 GB RAM",Yes,microUSB 2.0,3000
112,Samsung Galaxy J,35,Yes,126.6,63.1,10.8,123,Dual,TFT,4.0,480,800,Android 5.1,Spreadtrum,Quad,Mali-400MP2,256 GB,"8 GB, 1 GB RAM - Galaxy J1 Nxt8 GB, 768 MB RAM - Galaxy J1 mini",Yes,microUSB 2.0,1500
113,Samsung Gear S2 classic 3G,35,No,44,46.9,13.4,54,Electronic SIM card (eSIM),AMOLED,1.2,360,360,Tizen,Dual,Dual,Mali-400MP2,No,"4 GB, 512 MB RAM",No,No,300
114,Samsung Galaxy Tab E 8.0,462,Yes,212.1,126.1,8.9,360,Single,TFT,8.0,800,1280,Android 5.1.1,Qualcomm,Quad,Adreno,256 GB,"16 GB, 1.5 GB RAM",Yes,microUSB 2.0,5000
115,Samsung Galaxy J,385,Yes,132.6,69.3,8.9,131,Single,AMOLED,4.5,480,800,Android 5.1.1,Spreadtrum,Quad,Mali-400,256 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2050
116,Samsung Galaxy A,385,Yes,161.7,80.9,7.4,200,Single,AMOLED,6.0,1080,1920,Android 5.1.1,Qualcomm,Octa,Adreno,256 GB,"32 GB, 3 GB RAM",Yes,microUSB 2.0,4000
